2024-09-28 04:24:49.063 [info] update#setState disabled
2024-09-28 04:24:49.064 [info] update#ctor - updates are disabled as there is no update URL
2024-09-28 06:14:21.417 [info] Extension host with pid 264003 exited with code: 0, signal: unknown.
2024-09-28 06:20:34.808 [info] Extension host with pid 266894 exited with code: 0, signal: unknown.
2024-09-28 06:20:34.847 [error] [UtilityProcessWorker]: terminated unexpectedly with code 18446744072266742000, signal: unknown
2024-09-28 06:21:42.463 [info] Extension host with pid 267843 exited with code: 0, signal: unknown.
2024-09-28 06:21:42.521 [error] [UtilityProcessWorker]: terminated unexpectedly with code 18446744072266742000, signal: unknown
2024-09-28 06:24:45.839 [info] Extension host with pid 268848 exited with code: 0, signal: unknown.
2024-09-28 06:26:13.352 [info] Extension host with pid 269699 exited with code: 0, signal: unknown.
2024-09-28 06:32:10.477 [info] Extension host with pid 118965 exited with code: 0, signal: unknown.
2024-09-28 06:32:10.528 [error] [UtilityProcessWorker]: terminated unexpectedly with code 18446744072266742000, signal: unknown
2024-09-28 06:51:21.921 [info] Extension host with pid 270949 exited with code: 0, signal: unknown.
2024-09-28 06:51:21.957 [error] [UtilityProcessWorker]: terminated unexpectedly with code 18446744072266742000, signal: unknown
2024-09-28 06:54:20.163 [info] Extension host with pid 281558 exited with code: 0, signal: unknown.
